trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
198,False,"{'a': 0.5, 'e': 0.13806923731089282}",20,0,-9.900098234517715,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
199,False,"{'a': 0.5, 'e': 0.13669542544552385}",20,14,-43.09408131680748,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 1}",1
200,False,"{'a': 0.5, 'e': 0.1353352832366127}",30,12,32.750177658010934,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
201,False,"{'a': 0.5, 'e': 0.13398867466880493}",20,12,6.372119558201626,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
202,False,"{'a': 0.5, 'e': 0.13265546508012172}",25,10,-16.425222274838546,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
203,False,"{'a': 0.5, 'e': 0.13133552114849303}",20,8,-19.519755325406656,"{0: 9, 1: 1, 2: 1, 3: 1, 4: 0}",1
204,False,"{'a': 0.5, 'e': 0.1300287108784259}",30,7,24.10547373526506,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
205,False,"{'a': 0.5, 'e': 0.12873490358780423}",25,9,6.037071307698599,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
206,False,"{'a': 0.5, 'e': 0.12745396989482075}",25,16,-27.316930045666098,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
207,False,"{'a': 0.5, 'e': 0.12618578170503877}",30,13,-12.596011232260548,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
208,False,"{'a': 0.5, 'e': 0.12493021219858241}",25,18,-9.575912425544598,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
